Municipality,Year,YieldPortfolio,Tmin_mean,Tmin_min,Tmax_mean,Tmax_max,Tmean_mean,Ptot_sum,Ptot_max,GDD_sum,HotDays_sum,FrostDays_sum,WetDays_sum
BIFROST-RIVERTON,2003,3.5233502449372494,-0.10839950960821917,-32.78875847,7.746117217860275,33.70007331,3.8188588544410957,0.5141393963426,0.044644067,2008.32640073,6,171,96
BIFROST-RIVERTON,2004,5.242963144243724,-0.6585278336338798,-33.39940635,6.623509247562842,29.96699242,2.9824907071830604,0.763064808556,0.0456761,1515.50207885,0,175,121
BIFROST-RIVERTON,2005,1.5099332509084482,1.080290131120548,-30.97312754,8.434355689873971,33.08322659,4.757322910969863,0.568989964612,0.045814454,1944.483816145,11,165,106
BIFROST-RIVERTON,2006,4.223596685962738,1.9198311708821916,-29.63829756,9.756412916665754,33.12497052,5.8381220446794515,0.494873808349,0.03231657,2099.396188149,5,175,99
BIFROST-RIVERTON,2007,4.284712509090866,0.46522934168493146,-32.62004599,7.983686081761644,35.69423187,4.224457712117808,0.534691340664,0.033660325,1956.2429209910001,9,157,117
BIFROST-RIVERTON,2008,3.0068564419636106,-1.2904922225874316,-30.96791204,6.70476561352459,32.11874915,2.707136695647541,0.6565607099268,0.046917786,1713.658049275,2,184,108
BIFROST-RIVERTON,2009,1.338514963834159,-0.3926011378684931,-28.64256965,6.9485579504739725,30.81454248,3.277978406556165,0.676685461908,0.082302997,1635.195303002,1,174,101
BIFROST-RIVERTON,2010,1.3853028971082018,1.278952135391781,-26.22735203,8.807382754106849,31.90145889,5.043167445169863,0.751587979375,0.045992075,1963.179904229,6,150,104
BIFROST-RIVERTON,2011,3.0558533321049506,0.5097320081808219,-29.12119411,8.632426321575343,37.0141814,4.571079165284932,0.452957840044,0.035740082,2064.99460445,13,173,96
BOISSEVAIN-MORTON,1996,3.59119208190933,-2.642529800806011,-38.54384433,5.204530916928962,33.45062521,1.2810005582213113,0.648289705532,0.042267204,1727.093628207,6,191,107
BOISSEVAIN-MORTON,1997,3.721318480546936,-0.08922040203835613,-34.80043348,8.229375020323287,31.91996976,4.070077309654795,0.596611377525,0.090193255,1891.416113632,4,187,94
BOISSEVAIN-MORTON,1998,4.714903212149,1.173837989369863,-30.7372096,8.782507584706849,31.35444011,4.978172787539727,0.733394662282,0.052842487,1943.599132735,3,162,108
BOISSEVAIN-MORTON,1999,2.9539535988880155,1.0438136907315068,-28.43157025,8.874719590235616,32.20125995,4.959266640956164,0.613470573192,0.039115085,1725.194326019,5,161,102
BOISSEVAIN-MORTON,2000,4.30753164564642,-0.2018892540928962,-32.03760907,7.629445984155738,33.14218329,3.7137783653251364,0.726766668885,0.03702624,1832.938857905,4,164,113
BOISSEVAIN-MORTON,2001,4.0170155137375,0.6880009949753425,-29.77584639,8.788393190260274,34.172011,4.738197093065753,0.469814103263,0.024993819,1918.586401693,7,171,89
BOISSEVAIN-MORTON,2002,3.8344358635797633,-0.27978367966575346,-31.64503581,7.83689834309863,34.98458429,3.7785573321260273,0.4836265356159,0.032043784,1772.636404165,10,204,87
BOISSEVAIN-MORTON,2003,3.494050423279959,-0.2271282399726027,-33.00701581,7.9049945967808215,33.88193609,3.838933178578082,0.470371429672,0.033334378,2006.419830885,11,172,97
BOISSEVAIN-MORTON,2004,3.151887915987173,-0.6135275971912568,-35.94618436,6.948499643174863,30.37737832,3.1674860233306013,0.692048530141,0.031789841,1517.826121604,1,178,115
BOISSEVAIN-MORTON,2005,3.1283707940993244,0.5828726844438357,-32.44899377,8.326723016526028,32.95762328,4.454797850928767,0.572124362136,0.036027823,1887.391350905,10,162,94
BOISSEVAIN-MORTON,2006,3.560723455355121,1.5130244460082192,-31.57411994,9.626691260309588,33.50301355,5.569857853602739,0.363129714601,0.023284796,2099.068609628,11,173,89
BOISSEVAIN-MORTON,2007,3.948655060205439,0.24401950971506842,-31.35263417,8.496956659471232,35.71380638,4.370488085136986,0.522485174115,0.047786903,2034.00008643,11,158,92
BOISSEVAIN-MORTON,2008,6.061197884039846,-1.32788252,-33.37365116,7.1873495883551906,32.22107472,2.929733534434426,0.5052301364958,0.046422683,1765.042209185,5,181,95
BOISSEVAIN-MORTON,2009,7.011414358242704,-1.0548346415123289,-32.24921269,6.861638439769863,31.12026633,2.903401899526027,0.532916584612,0.10965664,1712.777191305,2,177,82
BOISSEVAIN-MORTON,2010,4.13244169984111,0.8033189953123288,-31.61807499,8.664947977756164,34.46681466,4.734133486909589,0.6159690755,0.037263795,1966.818092792,7,159,106
BOISSEVAIN-MORTON,2011,1.6325795319085719,0.20586145169315068,-28.99503337,8.518524572975343,36.39997798,4.362193012654794,0.520785687504,0.028501169,1973.304863272,11,176,89
BRENDA-WASKADA,1996,1.7662480510704799,-2.5352245792295083,-38.59839115,5.4562285641584705,33.19818972,1.4605019925519127,0.69509152156,0.043268102,1747.696641729,7,189,107
